Year,psa_rate_per_100k_pop,lga_rate_per_100_pop,incidents_recorded,LGA,division_code,division_desc,subdivision_code,subdivision_desc,subgroup_code,subgroup_desc,police_region
2025,49.878349089,49.878349089,67,Cardinia,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,3 Southern Metro
2025,6.700076743,6.700076743,9,Cardinia,B,Property and deception offences,B10,Arson,B19,Other fire related offences,3 Southern Metro
2025,383.39328031,383.39328031,515,Cardinia,B,Property and deception offences,B20,Property damage,B21,Criminal damage,3 Southern Metro
2025,38.711554517,38.711554517,52,Cardinia,B,Property and deception offences,B20,Property damage,B22,Graffiti,3 Southern Metro
2025,2.233358914,2.233358914,3,Cardinia,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,3 Southern Metro
2025,84.123185777,84.123185777,113,Cardinia,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,3 Southern Metro
2025,150.379500238,150.379500238,202,Cardinia,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,3 Southern Metro
2025,2.977811886,2.977811886,4,Cardinia,B,Property and deception offences,B30,Burglary/Break and enter,B329,Unknown non-aggravated burglary,3 Southern Metro
2025,256.091822187,256.091822187,344,Cardinia,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,3 Southern Metro
2025,757.853124962,757.853124962,1018,Cardinia,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,3 Southern Metro
2025,55.089519889,55.089519889,74,Cardinia,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,3 Southern Metro
2025,452.627406657,452.627406657,608,Cardinia,B,Property and deception offences,B40,Theft,B49,Other theft,3 Southern Metro
2025,33.283952934,33.283952934,139,Casey,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,3 Southern Metro
2025,4.07069928,4.07069928,17,Casey,B,Property and deception offences,B10,Arson,B19,Other fire related offences,3 Southern Metro
2025,394.618377226,394.618377226,1648,Casey,B,Property and deception offences,B20,Property damage,B21,Criminal damage,3 Southern Metro
2025,12.691003637,12.691003637,53,Casey,B,Property and deception offences,B20,Property damage,B22,Graffiti,3 Southern Metro
2025,3.352340583,3.352340583,14,Casey,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,3 Southern Metro
2025,124.276054478,124.276054478,519,Casey,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,3 Southern Metro
2025,181.026391494,181.026391494,756,Casey,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,3 Southern Metro
2025,1.197264494,1.197264494,5,Casey,B,Property and deception offences,B30,Burglary/Break and enter,B329,Unknown non-aggravated burglary,3 Southern Metro
2025,348.882873555,348.882873555,1457,Casey,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,3 Southern Metro
2025,975.770562619,975.770562619,4075,Casey,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,3 Southern Metro
2025,23.226931184,23.226931184,97,Casey,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,3 Southern Metro
2025,488.483913557,488.483913557,2040,Casey,B,Property and deception offences,B40,Theft,B49,Other theft,3 Southern Metro
2025,21.126320679,65.266718093,9,Central Goldfields,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,4 Western
2025,35.210534464,108.777863488,15,Central Goldfields,B,Property and deception offences,B10,Arson,B19,Other fire related offences,4 Western
2025,255.863217108,790.452474678,109,Central Goldfields,B,Property and deception offences,B20,Property damage,B21,Criminal damage,4 Western
2025,16.43158275,50.763002961,7,Central Goldfields,B,Property and deception offences,B20,Property damage,B22,Graffiti,4 Western
2025,2.347368964,7.251857566,1,Central Goldfields,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,4 Western
2025,9.389475857,29.007430263,4,Central Goldfields,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,4 Western
2025,70.421068929,217.555726976,30,Central Goldfields,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,4 Western
2025,2.347368964,7.251857566,1,Central Goldfields,B,Property and deception offences,B30,Burglary/Break and enter,B329,Unknown non-aggravated burglary,4 Western
2025,63.378962036,195.800154278,27,Central Goldfields,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,4 Western
2025,79.810544786,246.563157239,34,Central Goldfields,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,4 Western
2025,23.473689643,72.518575659,10,Central Goldfields,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,4 Western
2025,159.621089572,493.126314478,68,Central Goldfields,B,Property and deception offences,B40,Theft,B49,Other theft,4 Western
2025,2.347368964,12.867157004,1,Loddon,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,4 Western
2025,9.389475857,51.468628015,4,Loddon,B,Property and deception offences,B10,Arson,B19,Other fire related offences,4 Western
2025,84.505282715,463.217652133,36,Loddon,B,Property and deception offences,B20,Property damage,B21,Criminal damage,4 Western
2025,9.389475857,51.468628015,4,Loddon,B,Property and deception offences,B20,Property damage,B22,Graffiti,4 Western
2025,4.694737929,25.734314007,2,Loddon,B,Property and deception offences,B20,Property damage,B29,Other property damage offences,4 Western
2025,2.347368964,12.867157004,1,Loddon,B,Property and deception offences,B30,Burglary/Break and enter,B311,Residential aggravated burglary,4 Western
2025,44.600010322,244.47598307,19,Loddon,B,Property and deception offences,B30,Burglary/Break and enter,B321,Residential non-aggravated burglary,4 Western
2025,37.557903429,205.874512059,16,Loddon,B,Property and deception offences,B40,Theft,B41,Motor vehicle theft,4 Western
2025,65.726331,360.280396103,28,Loddon,B,Property and deception offences,B40,Theft,B42,Steal from a motor vehicle,4 Western
2025,2.347368964,12.867157004,1,Loddon,B,Property and deception offences,B40,Theft,B44,Theft of a bicycle,4 Western
2025,183.094779215,1003.638246288,78,Loddon,B,Property and deception offences,B40,Theft,B49,Other theft,4 Western
2025,37.557903429,76.047101656,16,Mount Alexander,B,Property and deception offences,B10,Arson,B11,Cause damage by fire,4 Western
